,datadate,sentiment
0,20080102,0
1,20080103,0
2,20080104,0
3,20080107,0
4,20080108,0
5,20080109,0
6,20080110,0
7,20080111,0
8,20080114,0
9,20080115,0
10,20080116,0
11,20080117,0
12,20080118,0
13,20080122,0
14,20080123,0
15,20080124,0
16,20080125,0
17,20080128,0
18,20080129,0
19,20080130,0
20,20080131,0
21,20080201,0
22,20080204,0
23,20080205,0
24,20080206,0
25,20080207,0
26,20080208,0
27,20080211,0
28,20080212,0
29,20080213,0
30,20080214,0
31,20080215,0
32,20080219,0
33,20080220,0
34,20080221,0
35,20080222,0
36,20080225,0
37,20080226,0
38,20080227,0
39,20080228,0
40,20080229,0
41,20080303,0
42,20080304,0
43,20080305,0
44,20080306,0
45,20080307,0
46,20080310,0
47,20080311,0
48,20080312,0
49,20080313,0
50,20080314,0
51,20080317,0
52,20080318,0
53,20080319,0
54,20080320,0
55,20080324,0
56,20080325,0
57,20080326,0
58,20080327,0
59,20080328,0
60,20080331,0
61,20080401,0
62,20080402,0
63,20080403,0
64,20080404,0
65,20080407,0
66,20080408,0
67,20080409,0
68,20080410,0
69,20080411,0
70,20080414,0
71,20080415,0
72,20080416,0
73,20080417,0
74,20080418,0
75,20080421,0
76,20080422,0
77,20080423,0
78,20080424,0
79,20080425,0
80,20080428,0
81,20080429,0
82,20080430,0
83,20080501,0
84,20080502,0
85,20080505,0
86,20080506,0
87,20080507,0
88,20080508,0
89,20080509,0
90,20080512,0
91,20080513,0
92,20080514,0
93,20080515,0
94,20080516,0
95,20080519,0
96,20080520,0
97,20080521,0
98,20080522,0
99,20080523,0
100,20080527,0
101,20080528,-0.1922
102,20080529,0.8779
103,20080530,-0.05254999999999999
104,20080602,0.024399999999999995
105,20080603,0.11387142857142858
106,20080604,-0.07955
107,20080605,0.181675
108,20080606,0.4835
109,20080609,0.060036363636363624
110,20080610,-0.02804444444444445
111,20080611,0.1302
112,20080612,0.047180000000000014
113,20080613,-0.20396
114,20080616,0.0
115,20080617,0.19185
116,20080618,0
117,20080619,0.0
118,20080620,0.13501999999999997
119,20080623,0
120,20080624,0.4221
121,20080625,-0.7906
122,20080626,0.24070000000000003
123,20080627,-0.30569999999999997
124,20080630,-0.128
125,20080701,-0.20373999999999998
126,20080702,0.7964
127,20080703,-0.1971333333333333
128,20080707,0.4643
129,20080708,0.25889999999999996
130,20080709,0
131,20080710,0.17845000000000003
132,20080711,0.4215
133,20080714,-0.1020875
134,20080715,0
135,20080716,0.08358571428571426
136,20080717,0.14985
137,20080718,-0.129275
138,20080721,-0.03208823529411765
139,20080722,0.08967142857142858
140,20080723,0.10771666666666664
141,20080724,-0.010049999999999995
142,20080725,0.1292
143,20080728,0.0
144,20080729,0
145,20080730,0
146,20080731,0.061
147,20080801,0.0
148,20080804,0
149,20080805,0.07220000000000001
150,20080806,-0.170025
151,20080807,0
152,20080808,0
153,20080811,0.45130000000000003
154,20080812,0.3199
155,20080813,0.12414
156,20080814,0.14693333333333333
157,20080815,0.15846666666666667
158,20080818,0
159,20080819,0
160,20080820,0
161,20080821,0
162,20080822,0.3612
163,20080825,0
164,20080826,0
165,20080827,0
166,20080828,0.17975
167,20080829,0
168,20080902,0.0
169,20080903,-0.07206666666666667
170,20080904,0
171,20080905,-0.08945
172,20080908,0.0
173,20080909,0.11996956521739131
174,20080910,0.07828333333333336
175,20080911,0.31143333333333334
176,20080912,-0.26444
177,20080915,0.3695
178,20080916,-0.015610000000000002
179,20080917,0.21853333333333333
180,20080918,0
181,20080919,-0.012916666666666668
182,20080922,0
183,20080923,0.0
184,20080924,0
185,20080925,0.060787499999999994
186,20080926,0
187,20080929,0.05160487804878048
188,20080930,0.13010000000000002
189,20081001,0
190,20081002,0.07237142857142857
191,20081003,0
192,20081006,0
193,20081007,0
194,20081008,0.2692428571428572
195,20081009,0.16584999999999997
196,20081010,0.1806
197,20081013,0.8116
198,20081014,0.16151666666666667
199,20081015,0
200,20081016,0.765
201,20081017,0.17260625000000002
202,20081020,0.12551199999999998
203,20081021,0.09405714285714284
204,20081022,0
205,20081023,-0.0023277777777777867
206,20081024,0.0
207,20081027,-0.1352
208,20081028,0.19555454545454545
209,20081029,0.18762857142857142
210,20081030,0.15774375000000002
211,20081031,0.0
212,20081103,0.022976923076923075
213,20081104,0.13511
214,20081105,-0.08424999999999999
215,20081106,0
216,20081107,0.09052272727272727
217,20081110,0.04715000000000001
218,20081111,0.08443529411764705
219,20081112,0
220,20081113,0.0
221,20081114,0
222,20081117,0.296
223,20081118,-0.68
224,20081119,0.1528625
225,20081120,0.11617777777777778
226,20081121,0.0
